id,编号,序号,名称,页面标题,精灵阶段,主属性,副属性,特性,特性描述,生命,物攻,魔攻,物防,魔防,速度,种族值总和,回顾,星光值,是否有异色,初阶名称,地区形态,进化条件,体型,重量,分布地区,更新版本,页面链接,立绘链接,立绘路径
176,107,10107,罗隐,罗隐,最终阶段,地,恶,石头大餐,能量不足时，消耗5%生命，代替1能量。,107,159,78,112,70,75,601,,,否,阿米亚特,,,1.48~2.12,290~305,奥贝斯坦湖 / 乌黑巷 / 叽叽喳喳台地 / 商店街周边 / 学院驻地 / 岚语峰 / 挽风屏障 / 月牙湖岸 / 月牙镇 / 皇家办事处 / 聆风塔地 / 聆风镇 / 轻风山 / 风眠圣所,0.6,https://wiki.biligame.com/rocom/%E7%BD%97%E9%9A%90,https://patchwiki.biligame.com/images/rocom/3/38/495925un1xk6eioymvva969ahadlk3m.png,
177,108,10108,风铃鲨,风铃鲨,Ⅰ阶,水,翼,水翼推进,己方精灵每使用1次水系技能，自己入场时获得全技能能耗-1。,54,46,46,63,63,75,347,,,否,风铃鲨,,,0.41~0.59,13.07~16.8,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E9%A3%8E%E9%93%83%E9%B2%A8,https://patchwiki.biligame.com/images/rocom/f/fe/88nqs9bcxmqlj6ad7xoyz36k5fxw4qe.png,
178,109,10109,蓝蝶鲨,蓝蝶鲨,Ⅱ阶,水,翼,水翼推进,己方精灵每使用1次水系技能，自己入场时获得全技能能耗-1。,72,61,61,84,84,100,462,,,否,风铃鲨,,,0.81~1.16,34.82~48.6,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E8%93%9D%E8%9D%B6%E9%B2%A8,https://patchwiki.biligame.com/images/rocom/0/0a/ti363dbka1pfizpes11yhv112jlt4j5.png,
179,110,10110,彩蝶鲨,彩蝶鲨,最终阶段,水,翼,水翼推进,己方精灵每使用1次水系技能，自己入场时获得全技能能耗-1。,90,77,77,105,105,125,579,,,否,风铃鲨,,,1.18~1.68,80.5~96.5,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E5%BD%A9%E8%9D%B6%E9%B2%A8,https://patchwiki.biligame.com/images/rocom/5/51/eeqyrw3rswylx1c4sc3kxpzfgu5yqgm.png,
180,110,101101,神谕鲨,神谕鲨,最终阶段,水,翼,水翼飞升,己方精灵每使用1次水系技能，自己入场时获得全技能能耗-1，且能耗为0的技能威力+30%。,90,77,77,105,105,125,579,,,否,风铃鲨,,,1.79~2.26,107.6~165.5,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E7%A5%9E%E8%B0%95%E9%B2%A8,https://patchwiki.biligame.com/images/rocom/8/87/5os1votqyvev5zau69526mk128ggh29.png,
181,111,10111,石石,石石,Ⅰ阶,地,,石天平,若使用技能能耗高于敌方，回合结束敌方失去能耗之差的能量。,76,79,79,101,56,76,467,,,否,石石,,,0.35~0.5,61~75,常见于山地,0.6,https://wiki.biligame.com/rocom/%E7%9F%B3%E7%9F%B3,https://patchwiki.biligame.com/images/rocom/c/c6/ozlttesinkk43ayc3sv3tbab5ckbshi.png,
182,112,10112,巨灵石,巨灵石,最终阶段,地,幽,石天平,若使用技能能耗高于敌方，回合结束敌方失去能耗之差的能量。,95,99,99,126,70,95,584,,,否,石石,,,1.95~2.3,205~240,常见于山地,0.6,https://wiki.biligame.com/rocom/%E5%B7%A8%E7%81%B5%E7%9F%B3,https://patchwiki.biligame.com/images/rocom/c/c1/c0lw5946cwte5stco3xurz3c0d98x2t.png,
183,113,10113,仪使者,仪使者,Ⅰ阶,地,幻,观星,敌方每有1层星陨印记，自己的地系技能威力+15%。,64,54,57,69,71,51,366,,,否,仪使者,,,0.45~0.58,19.05~35.05,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E4%BB%AA%E4%BD%BF%E8%80%85,https://patchwiki.biligame.com/images/rocom/9/98/a4s6v19kpxbuk9cprtbjxwgs2xwxi70.png,
184,114,10114,仪式之星,仪式之星,Ⅱ阶,地,幻,观星,敌方每有1层星陨印记，自己的地系技能威力+15%。,85,72,76,92,95,68,488,,,否,仪使者,,,0.84~1.21,72~87.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E4%BB%AA%E5%BC%8F%E4%B9%8B%E6%98%9F,https://patchwiki.biligame.com/images/rocom/a/a3/oomva04tf8o7qrqqakm0jxwilzw3c8o.png,
185,115,10115,仪式巨像,仪式巨像,最终阶段,地,幻,观星,敌方每有1层星陨印记，自己的地系技能威力+15%。,106,90,95,115,119,85,610,,,否,仪使者,,,1.44~1.79,198.05~253.07,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E4%BB%AA%E5%BC%8F%E5%B7%A8%E5%83%8F,https://patchwiki.biligame.com/images/rocom/6/6d/5ye4a7k1u4q5lzf6ibnmwb1d3vtzlld.png,
186,115,101151,祭礼巨像,祭礼巨像,最终阶段,地,幻,坠星,敌方每有1层星陨印记，自己的技能威力+15%。,106,105,111,115,119,85,641,,,否,仪使者,,,1.91~2.37,468~694,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%A5%AD%E7%A4%BC%E5%B7%A8%E5%83%8F,https://patchwiki.biligame.com/images/rocom/2/20/2ueygm0fuopiton03rnnqvbe48fv65b.png,
187,116,10116,小独角兽,小独角兽,Ⅰ阶,光,,目空,携带的非光系技能，威力+25%。,79,48,129,62,74,84,476,,,是,小独角兽,,,0.98~1.41,41.5~55.6,常见于草地、山林,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%8B%AC%E8%A7%92%E5%85%BD,https://patchwiki.biligame.com/images/rocom/e/ec/qdyvecckyuhnazeotxq9wkxwzb4ws8o.png,
188,117,101171,彩虹独角兽,彩虹独角兽,最终阶段,光,,夺目,额外获得三个未携带的随机技能，且非光系技能威力+25%。,99,78,192,77,92,105,643,,,否,小独角兽,,,2.72~3.04,160.5~211.08,常见于草地、山林,0.6,https://wiki.biligame.com/rocom/%E5%BD%A9%E8%99%B9%E7%8B%AC%E8%A7%92%E5%85%BD,https://patchwiki.biligame.com/images/rocom/f/fe/bpf3jqzgjp0t47cqro78txddkoh70b4.png,
189,117,10117,白金独角兽,白金独角兽,最终阶段,光,,目空,携带的非光系技能，威力+25%。,99,61,161,77,92,105,595,,,是,小独角兽,,,1.35~1.93,94.5~105,常见于草地、山林,0.6,https://wiki.biligame.com/rocom/%E7%99%BD%E9%87%91%E7%8B%AC%E8%A7%92%E5%85%BD,https://patchwiki.biligame.com/images/rocom/b/b0/6mn7g1bmit3kop684uwf2ns9tg4rsed.png,
190,118,101181,旋叶虫,旋叶虫（枯叶的样子）,最终阶段,普通,虫,共鸣,携带的【虫鸣】技能威力+20。,57,15,67,61,52,72,324,,,否,旋叶虫（枯叶的样子）,枯叶的样子,,0.1~0.15,0.1~0.85,常见于树林,0.6,https://wiki.biligame.com/rocom/%E6%97%8B%E5%8F%B6%E8%99%AB%EF%BC%88%E6%9E%AF%E5%8F%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/5/50/5sdfgyib9xd38jnyswjz8fefm9h8su3.png,
191,118,10118,旋叶虫,旋叶虫（金黄的样子）,Ⅰ阶,普通,虫,共鸣,携带的【虫鸣】技能威力+20。,56,15,65,63,55,72,326,,,否,旋叶虫（金黄的样子）,金黄的样子,,0.1~0.15,0.1~0.85,常见于树林,0.6,https://wiki.biligame.com/rocom/%E6%97%8B%E5%8F%B6%E8%99%AB%EF%BC%88%E9%87%91%E9%BB%84%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/d/d6/jparkpdxm8e8qe6r164oni4tduf4qsq.png,
192,119,101191,蓬叶虫,蓬叶虫（枯叶的样子）,最终阶段,普通,虫,共鸣,携带的【虫鸣】技能威力+20。,76,20,89,82,70,96,433,,,否,旋叶虫（枯叶的样子）,枯叶的样子,,0.53~0.76,0.65~1.68,常见于树林,0.6,https://wiki.biligame.com/rocom/%E8%93%AC%E5%8F%B6%E8%99%AB%EF%BC%88%E6%9E%AF%E5%8F%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/6/69/3u9u30vxoygg6q3okswrz5nwim5qfa8.png,
193,119,10119,蓬叶虫,蓬叶虫（金黄的样子）,Ⅱ阶,普通,虫,共鸣,携带的【虫鸣】技能威力+20。,74,19,87,84,73,96,433,,,否,旋叶虫（金黄的样子）,金黄的样子,,0.53~0.76,0.65~1.68,常见于树林,0.6,https://wiki.biligame.com/rocom/%E8%93%AC%E5%8F%B6%E8%99%AB%EF%BC%88%E9%87%91%E9%BB%84%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/b/ba/p11mh7sopmm5wvvo4b0maw1j31n6vav.png,
194,120,101201,风滚暮虫,风滚暮虫（枯叶的样子）,最终阶段,普通,虫,共鸣,携带的【虫鸣】技能威力+20。,95,25,111,102,87,120,540,,,否,旋叶虫（枯叶的样子）,枯叶的样子,,0.6~0.7,1.45~3.43,常见于树林,0.6,https://wiki.biligame.com/rocom/%E9%A3%8E%E6%BB%9A%E6%9A%AE%E8%99%AB%EF%BC%88%E6%9E%AF%E5%8F%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/a/a8/23lz5nyrkultfyy2c4dwgqboh21zmuq.png,
195,120,10120,风滚暮虫,风滚暮虫（金黄的样子）,最终阶段,普通,虫,共鸣,携带的【虫鸣】技能威力+20。,93,24,109,105,91,120,542,,,否,旋叶虫（金黄的样子）,金黄的样子,,0.6~0.7,1.45~3.43,常见于树林,0.6,https://wiki.biligame.com/rocom/%E9%A3%8E%E6%BB%9A%E6%9A%AE%E8%99%AB%EF%BC%88%E9%87%91%E9%BB%84%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/5/53/i7jmthl2o8l116rbhkn2fyjmhtf57s5.png,
196,121,10121,小黑猫,小黑猫,Ⅰ阶,普通,,预警,若敌方技能足够击败自己，回合开始时自己获得速度+50。,121,72,130,54,95,56,528,,,否,小黑猫,,,0.55~0.65,3.1~4.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E9%BB%91%E7%8C%AB,https://patchwiki.biligame.com/images/rocom/c/c9/8rrqybxt78i08ws9ztf6iqrhpbf61fi.png,
197,122,101221,黑猫密探,黑猫密探,最终阶段,普通,,先知,若敌方技能足够击败自己，回合开始时自己获得速度+50，双攻+50%。,152,107,186,67,119,70,701,,,否,小黑猫,,,0.94~1.08,11.07~15.06,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%BB%91%E7%8C%AB%E5%AF%86%E6%8E%A2,https://patchwiki.biligame.com/images/rocom/5/50/bpobcq4lgfb7e4m0wy3dy5esbqn8hmt.png,
198,122,10122,黑猫巫师,黑猫巫师,最终阶段,普通,,预警,若敌方技能足够击败自己，回合开始时自己获得速度+50。,152,91,163,67,119,70,662,,,否,小黑猫,,,0.85~0.97,8.1~9.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%BB%91%E7%8C%AB%E5%B7%AB%E5%B8%88,https://patchwiki.biligame.com/images/rocom/c/cb/9uippciulkrlx979x5xnv9aqoprjcek.png,
199,123,10123,忽幽狸,忽幽狸,Ⅰ阶,幽,毒,下黑手,敌方精灵离场后，更换入场的精灵获得5层中毒。,78,87,84,84,56,104,493,,,否,忽幽狸,,,0.76~1.09,8.3~9.8,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%BF%BD%E5%B9%BD%E7%8B%B8,https://patchwiki.biligame.com/images/rocom/7/78/2jxh0kfsg1lzfa640r2nyaz03bcr97j.png,
200,124,10124,影狸,影狸,最终阶段,幽,毒,下黑手,敌方精灵离场后，更换入场的精灵获得5层中毒。,97,109,105,105,70,130,616,,,否,忽幽狸,,,1.11~1.59,23.5~37.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%BD%B1%E7%8B%B8,https://patchwiki.biligame.com/images/rocom/5/50/cwmitfohkag0d2t5zfu055dhwrm4vxk.png,
201,125,10125,多多,多多,Ⅰ阶,毒,地,毒牙,使敌方获得中毒时，也会使其获得魔攻和魔防-40%。,47,53,53,82,66,54,355,,,否,多多,,,0.45~0.65,14.6~18.6,常见于山林,0.6,https://wiki.biligame.com/rocom/%E5%A4%9A%E5%A4%9A,https://patchwiki.biligame.com/images/rocom/c/ce/616cnqj5bbxqzen5zwhzqhst14lpua9.png,
202,126,10126,多啦多,多啦多,Ⅱ阶,毒,地,毒牙,使敌方获得中毒时，也会使其获得魔攻和魔防-40%。,63,70,70,109,88,72,472,,,否,多多,,,0.58~0.83,28.5~34.6,常见于山林,0.6,https://wiki.biligame.com/rocom/%E5%A4%9A%E5%95%A6%E5%A4%9A,https://patchwiki.biligame.com/images/rocom/c/ce/aewpz1647wrfl4r6fzxzem25ia6w3z8.png,
203,127,10127,古啦多,古啦多,最终阶段,毒,地,毒牙,使敌方获得中毒时，也会使其获得魔攻和魔防-40%。,79,88,88,136,110,90,591,,,否,多多,,,0.69~0.99,43.5~58.6,常见于山林,0.6,https://wiki.biligame.com/rocom/%E5%8F%A4%E5%95%A6%E5%A4%9A,https://patchwiki.biligame.com/images/rocom/d/d8/nauiiyi051f6jwn5tuy0mrao8j1z1hn.png,
204,128,10128,哭哭菇,哭哭菇,Ⅰ阶,幻,,吸积盘,回合结束时，敌方获得2层星陨印记。,74,38,41,30,60,36,279,,,否,哭哭菇,,,0.33~0.47,1.8~3.2,常见于山地、河岸,0.6,https://wiki.biligame.com/rocom/%E5%93%AD%E5%93%AD%E8%8F%87,https://patchwiki.biligame.com/images/rocom/e/ee/r5ob8gjuzspmnvdafl5zf5836e6bf6g.png,
205,129,10129,怖须菇,怖须菇,Ⅱ阶,幻,,吸积盘,回合结束时，敌方获得2层星陨印记。,99,50,55,40,80,48,372,,,否,哭哭菇,,,0.69~0.99,8.72~15.6,常见于山地、河岸,0.6,https://wiki.biligame.com/rocom/%E6%80%96%E9%A1%BB%E8%8F%87,https://patchwiki.biligame.com/images/rocom/a/a5/bh34wp7r6rvgj50zw0rz9uh7w1onmvl.png,
206,130,10130,怖哭菇,怖哭菇,最终阶段,幻,,吸积盘,回合结束时，敌方获得2层星陨印记。,124,63,69,50,100,60,466,,,否,哭哭菇,,,1.23~1.76,22.5~28.6,常见于山地、河岸,0.6,https://wiki.biligame.com/rocom/%E6%80%96%E5%93%AD%E8%8F%87,https://patchwiki.biligame.com/images/rocom/7/77/0vwsiij65kn8tbfm24x0zxekycspl5d.png,
207,131,10131,恶魔狼,恶魔狼,最终阶段,恶,,悲悯,己方队伍中每有1只力竭的精灵，自己获得双攻+30%。,115,114,45,91,63,120,548,,,是,恶魔狼,,,1.23~1.76,74~92,月牙湖岸,0.6,https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%8B%BC,https://patchwiki.biligame.com/images/rocom/6/6a/8rz167blfbrzzs44u5mq8a0k7im6ap8.png,
208,131,101311,恶魔狼王,恶魔狼王,最终阶段,恶,,悼亡,双方队伍中每有1只力竭的精灵，自己获得双攻+30%。,115,121,50,91,63,120,560,,,是,恶魔狼,,,2.04~2.6,168~227.5,偶见于山地,0.6,https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%8B%BC%E7%8E%8B,https://patchwiki.biligame.com/images/rocom/c/cd/1qfkgvqe3ah6vtttso6rmj8eeddxh6u.png,
209,132,10132,小电企鹅,小电企鹅,Ⅰ阶,冰,电,超负荷,攻击技能获得迸发：敌方获得全技能能耗+1。,75,45,101,59,87,100,467,,,否,小电企鹅,,,0.44~0.56,3.82~5.39,常见于雪山,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%94%B5%E4%BC%81%E9%B9%85,https://patchwiki.biligame.com/images/rocom/d/d6/4seo2uqqap8978sndkvqzoez1nc8nwy.png,
210,133,10133,电企鹅,电企鹅,最终阶段,冰,电,超负荷,攻击技能获得迸发：敌方获得全技能能耗+1。,94,56,126,73,109,125,583,,,否,小电企鹅,,,0.9~1.14,14.6~26.9,常见于雪山,0.6,https://wiki.biligame.com/rocom/%E7%94%B5%E4%BC%81%E9%B9%85,https://patchwiki.biligame.com/images/rocom/b/be/9br0yfxnfz0dsnrtgc7tlt75qtwxycl.png,
211,134,10134,雪豆丁,雪豆丁,Ⅰ阶,冰,,打雪仗,初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,97,104,47,83,62,36,429,,,否,雪豆丁,,,0.86~1.23,9.5~12.5,常见于雪山,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E8%B1%86%E4%B8%81,https://patchwiki.biligame.com/images/rocom/d/d8/2thy3gt4khhs6gza0pb6ke0da94ajq8.png,
212,135,10135,雪蛮人,雪蛮人,Ⅱ阶,冰,,打雪仗,初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,130,139,63,111,83,48,574,,,否,雪豆丁,,,1.11~1.59,59~76,常见于雪山,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E8%9B%AE%E4%BA%BA,https://patchwiki.biligame.com/images/rocom/e/e4/5jcbqvkc428abblnglyk3ok9nppvy4z.png,
213,136,10136,雪巨人,雪巨人,最终阶段,冰,,打雪仗,初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,162,174,79,139,104,60,718,,,否,雪豆丁,,,1.61~2.31,156~187,常见于雪山,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E5%B7%A8%E4%BA%BA,https://patchwiki.biligame.com/images/rocom/a/ae/jppthxewnslz9d16550t3owv0hf3emx.png,
214,137,10137,呼呼猪,呼呼猪,Ⅰ阶,冰,地,冻土,每携带1个冰系技能进入战斗，地系技能威力+10%。,98,95,33,88,81,68,463,,,是,呼呼猪,,,0.52~0.75,6.8~8.9,常见于雪山,0.6,https://wiki.biligame.com/rocom/%E5%91%BC%E5%91%BC%E7%8C%AA,https://patchwiki.biligame.com/images/rocom/e/e8/8vuqx5j838k85ddgjcl56zhh42wtfqa.png,
215,138,10138,獠牙猪,獠牙猪,最终阶段,冰,地,冻土,每携带1个冰系技能进入战斗，地系技能威力+10%。,123,119,41,110,101,85,579,,,是,呼呼猪,,,0.77~1.1,52.8~67.4,常见于雪山,0.6,https://wiki.biligame.com/rocom/%E7%8D%A0%E7%89%99%E7%8C%AA,https://patchwiki.biligame.com/images/rocom/e/e7/9k7bizwcoun5u7cvgvqgchfd9dmyxou.png,
216,139,10139,雪娃娃,雪娃娃,Ⅰ阶,冰,,冰封,在场时，敌方全技能能耗+1。,56,67,67,63,63,69,385,,,否,雪娃娃,,,0.29~0.42,6.8~8.16,常见于雪山,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E5%A8%83%E5%A8%83,https://patchwiki.biligame.com/images/rocom/2/2f/e14xbg7hrv1sv43e1qqhk145dsjcd3x.png,
217,140,10140,冰封怨灵,冰封怨灵,Ⅱ阶,冰,,冰封,在场时，敌方全技能能耗+1。,75,90,90,84,84,92,515,,,否,雪娃娃,,,0.96~1.37,24.5~31.6,常见于雪山,0.6,https://wiki.biligame.com/rocom/%E5%86%B0%E5%B0%81%E6%80%A8%E7%81%B5,https://patchwiki.biligame.com/images/rocom/2/20/kgz0l0h5v268zpumgfbqz7nhqtvgyey.png,
218,141,10141,雪灵,雪灵,最终阶段,冰,,冰封,在场时，敌方全技能能耗+1。,94,112,112,105,105,115,643,,,否,雪娃娃,,,1.09~1.56,56.4~68.4,常见于雪山,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%81%B5,https://patchwiki.biligame.com/images/rocom/2/20/s8u199aia0fr684sn42zevm9y7jblmz.png,
219,142,10142,大耳帽兜,大耳帽兜,Ⅰ阶,冰,萌,捉迷藏,使敌方获得冻结时，也会使其获得全技能能耗+1。,78,62,59,39,78,54,370,,,是,大耳帽兜,,,0.39~0.42,8.39~10.7,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%A4%A7%E8%80%B3%E5%B8%BD%E5%85%9C,https://patchwiki.biligame.com/images/rocom/9/90/5nj4in6eecm1rhiqat7avfogm5l3cx0.png,
220,143,10143,帽兜娃娃,帽兜娃娃,Ⅱ阶,冰,萌,捉迷藏,使敌方获得冻结时，也会使其获得全技能能耗+1。,104,83,78,52,104,72,493,,,是,大耳帽兜,,,0.4~0.57,19.05~26.8,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B8%BD%E5%85%9C%E5%A8%83%E5%A8%83,https://patchwiki.biligame.com/images/rocom/5/5a/q7sirjhoajj2l6afronw9k5u8w84ibs.png,
221,144,101441,雪影冰灵,雪影冰灵,最终阶段,冰,萌,抓到你了,自己入场时敌方获得2层冻结，使敌方获得冻结时，也会使其获得全技能能耗+1。,130,120,114,66,130,90,650,,,是,大耳帽兜,,,1.85~2.04,58.06~76.02,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E5%BD%B1%E5%86%B0%E7%81%B5,https://patchwiki.biligame.com/images/rocom/b/b5/q1m8ksutjvlfrfkjqd3o4hda5mac1es.png,
222,144,10144,雪影娃娃,雪影娃娃,最终阶段,冰,萌,捉迷藏,使敌方获得冻结时，也会使其获得全技能能耗+1。,130,103,98,66,130,90,617,,,是,大耳帽兜,,,0.64~0.92,31.8~36.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E5%BD%B1%E5%A8%83%E5%A8%83,https://patchwiki.biligame.com/images/rocom/1/12/ixakouy2o2kjsl0ytlhtdzhoukgoq3o.png,
223,145,10145,权杖-Ⅱ,权杖-Ⅱ,Ⅰ阶,机械,,机械变式,自己携带的技能每回合位置变化时，该技能能耗-1。,82,84,78,109,109,60,522,,,否,权杖-Ⅱ,,,0.45~0.55,28.5~35.7,常见于遗迹周边,0.6,https://wiki.biligame.com/rocom/%E6%9D%83%E6%9D%96-%E2%85%A1,https://patchwiki.biligame.com/images/rocom/2/29/36ojm8e9bg86sdwvq2lru4guexscjpm.png,
224,146,10146,权杖-Ⅴ,权杖-Ⅴ,最终阶段,机械,,机械变式,自己携带的技能每回合位置变化时，该技能能耗-1。,103,105,97,136,136,75,652,,,否,权杖-Ⅱ,,,0.95~1.05,98~108,常见于遗迹周边,0.6,https://wiki.biligame.com/rocom/%E6%9D%83%E6%9D%96-%E2%85%A4,https://patchwiki.biligame.com/images/rocom/1/13/t0s6mddc58b2nr8ezmolme9pn86uty5.png,
225,147,10147,灵狐,灵狐,Ⅰ阶,火,冰,灵魂灼伤,冰系技能使敌方获得4层灼烧，火系技能使敌方获得2层冻结。,69,52,52,50,64,60,347,,,是,灵狐,,,0.56~0.8,7.4~8.9,偶见于雪山,0.6,https://wiki.biligame.com/rocom/%E7%81%B5%E7%8B%90,https://patchwiki.biligame.com/images/rocom/0/0a/nmkg7ux0y9xb2o2q92ircdz5t11die4.png,
226,148,10148,九尾狐,九尾狐,Ⅱ阶,火,冰,灵魂灼伤,冰系技能使敌方获得4层灼烧，火系技能使敌方获得2层冻结。,92,70,70,67,86,80,465,,,是,灵狐,,,0.77~1.11,13.08~21.05,偶见于雪山,0.6,https://wiki.biligame.com/rocom/%E4%B9%9D%E5%B0%BE%E7%8B%90,https://patchwiki.biligame.com/images/rocom/0/04/6aatpzw69pbptt2uju04hv2tod4ypc9.png,
227,149,10149,尖嘴狐仙,尖嘴狐仙,最终阶段,火,冰,灵魂灼伤,冰系技能使敌方获得4层灼烧，火系技能使敌方获得2层冻结。,115,87,87,84,107,100,580,,,是,灵狐,,,1.34~1.92,69.5~78.5,偶见于雪山,0.6,https://wiki.biligame.com/rocom/%E5%B0%96%E5%98%B4%E7%8B%90%E4%BB%99,https://patchwiki.biligame.com/images/rocom/b/b1/gqbvamoe1ljcd3be988hlopoxdo44ak.png,
228,150,10150,里奥,里奥,Ⅰ阶,翼,,飓风,对本精灵的技能，若其他翼系精灵携带相同技能，则获得迅捷。被敌方精灵击败时，自己额外损失1点魔力。,79,65,65,77,50,75,411,,,否,里奥,,,0.35~0.45,4.8~5.9,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%87%8C%E5%A5%A5,https://patchwiki.biligame.com/images/rocom/6/62/mwlzc3o7mx5a5oo646nljqm8jsuhypa.png,
229,151,10151,灵羽勇士,灵羽勇士,Ⅱ阶,翼,,飓风,对本精灵的技能，若其他翼系精灵携带相同技能，则获得迅捷。被敌方精灵击败时，自己额外损失1点魔力。,105,87,87,102,66,100,547,,,否,里奥,,成长为1星,0.55~0.65,11.5~14.2,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%81%B5%E7%BE%BD%E5%8B%87%E5%A3%AB,https://patchwiki.biligame.com/images/rocom/4/44/tmhilmz97pggub3yrsredfnuv5e2jd2.png,
230,152,10152,圣羽翼王,圣羽翼王,最终阶段,翼,,飓风,对本精灵的技能，若其他翼系精灵携带相同技能，则获得迅捷。被敌方精灵击败时，自己额外损失1点魔力。,132,109,109,128,83,125,686,,,否,里奥,,成长为2星,2.1~2.55,195~296,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E7%BE%BD%E7%BF%BC%E7%8E%8B,https://patchwiki.biligame.com/images/rocom/4/40/lbxi6r2yicliuipn8dp7n5pk90xfjo4.png,
231,152,,圣羽翼王,圣羽翼王（被噩梦侵蚀的样子）,最终阶段,翼,,,,,,,,,,,,,,,被噩梦侵蚀的样子,,,,,0.1,https://wiki.biligame.com/rocom/%E5%9C%A3%E7%BE%BD%E7%BF%BC%E7%8E%8B%EF%BC%88%E8%A2%AB%E5%99%A9%E6%A2%A6%E4%BE%B5%E8%9A%80%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/4/40/lbxi6r2yicliuipn8dp7n5pk90xfjo4.png,
232,153,10153,松仔,松仔,Ⅰ阶,草,武,野性感官,应对成功后，下次行动先手+1。,63,83,34,77,60,63,380,,,否,松仔,,,0.52~0.68,6.25~7.85,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%9D%BE%E4%BB%94,https://patchwiki.biligame.com/images/rocom/c/ce/mx2ffpj0hb4meeslt3zqap12rr2empf.png,
233,153,,松仔,松仔（悲鸣的样子）,Ⅰ阶,草,,,,,,,,,,,,,,,悲鸣的样子,,,,,0.1,https://wiki.biligame.com/rocom/%E6%9D%BE%E4%BB%94%EF%BC%88%E6%82%B2%E9%B8%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/c/ce/mx2ffpj0hb4meeslt3zqap12rr2empf.png,
234,154,10154,松叶羊,松叶羊,Ⅱ阶,草,武,野性感官,应对成功后，下次行动先手+1。,84,111,46,102,80,84,507,,,否,松仔,,,1.08~1.33,19.09~28.06,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%9D%BE%E5%8F%B6%E7%BE%8A,https://patchwiki.biligame.com/images/rocom/1/10/jyqtkp0noekyg69k59jbsmgjv6gjwmz.png,
235,154,,松叶羊,松叶羊（悲鸣的样子）,Ⅱ阶,草,,,,,,,,,,,,,,,悲鸣的样子,,,,,0.1,https://wiki.biligame.com/rocom/%E6%9D%BE%E5%8F%B6%E7%BE%8A%EF%BC%88%E6%82%B2%E9%B8%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/1/10/jyqtkp0noekyg69k59jbsmgjv6gjwmz.png,
